n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
110,7,0.16710621030009204,0.35762760711496844,0.0008809949857153383,25,randomize,25.509090909090908,0.1170141784820684,0.15315828696203684,2.094829024186822,768.0909090909091,ba,0.7636363636363637,75,beta
99,8,0.11874836911259715,0.20684260154836598,0.0007579063558688588,71,randomize,28.747474747474747,0.1466707895279324,0.20127125501242807,1.969387755102041,990.8686868686868,ba,0.35353535353535354,31,beta
159,5,0.027082763996659986,0.25690300067643845,0.0003457995845587884,13,randomize,19.157232704402517,0.060624154127856066,0.09132862622328286,2.453506886394395,478.0,ba,0.6415094339622641,117,beta
94,3,0.22606365706771533,0.4830079702611023,0.0005358100201016331,67,randomize,11.27659574468085,0.060626858842370165,0.06882512659624894,0.0,149.68085106382978,ba,0.3191489361702128,71,beta
28,3,0.18899996304131078,0.5915989966050814,0.0007411874735403958,95,randomize,10.5,0.19444444444444445,0.1694240948792997,2.123015873015873,115.85714285714286,ba,0.5714285714285714,36,beta
144,5,0.12686207374050684,0.5352615081721074,0.00047270949257874714,78,randomize,19.02777777777778,0.06653069153069154,0.0762048561176431,2.4329351204351206,415.4166666666667,ba,0.2638888888888889,41,beta
179,3,0.17365471060934312,0.6376759731075833,0.0002316444345404926,27,randomize,11.69832402234637,0.032860460736928,0.03941710034147269,0.0,160.1340782122905,ba,0.29608938547486036,165,beta
63,9,0.11939048094824345,0.38450268205673477,0.0008441281444282328,86,randomize,29.11111111111111,0.23476702508960573,0.26425155743986256,1.7974910394265233,932.7619047619048,ba,0.873015873015873,29,beta
45,6,0.05038961496840663,0.0188210199942197,0.00047881692433255745,13,randomize,20.711111111111112,0.23535353535353534,0.3466273656857724,1.8323232323232324,529.5555555555555,ba,0.8666666666666667,58,beta
65,9,0.09853855392866828,0.6471207654063434,0.0009433544998245041,93,randomize,29.138461538461538,0.22764423076923077,0.23441748565281936,1.8012019230769232,884.8,ba,0.5692307692307692,29,beta
87,3,0.23073251811416517,0.14293359672803363,0.0007963965263464183,86,randomize,11.471264367816092,0.06669339748730287,0.10855827951383894,2.6272387062282814,183.17241379310346,ba,0.4827586206896552,57,beta
55,8,0.053193467305834435,0.48133149393387764,0.0002596680310039066,64,randomize,25.636363636363637,0.23737373737373738,0.2669232036232643,1.8080808080808082,715.0545454545454,ba,0.36363636363636365,33,beta
117,2,0.15429440996990523,0.7792044262948807,0.0008188076806090405,94,randomize,7.811965811965812,0.033672266430887124,0.0372445913835071,0.0,69.36752136752136,ba,0.4188034188034188,77,beta
69,2,0.15466170312544875,0.5281372548849236,0.0007538843382057909,89,randomize,7.6231884057971016,0.05605285592497869,0.061716149749881294,0.0,75.3913043478261,ba,0.6811594202898551,48,beta
104,3,0.09127699292791439,0.36623121880787735,0.00013655424812037342,51,randomize,11.461538461538462,0.05563853622106049,0.07377702961562224,0.0,169.67307692307693,ba,0.7115384615384616,63,beta
28,4,0.10410530021603387,0.8902798718919148,0.000614847835557654,66,randomize,3.2857142857142856,0.06084656084656084,0.0655187074829932,0.0,14.214285714285714,sf,0.32142857142857145,43,beta
188,10,0.14051017070890617,0.9648117327276979,0.00017493089792758147,98,randomize,3.276595744680851,0.008760951188986232,0.005545001688618709,0.0,14.02127659574468,sf,0.0851063829787234,55,beta
163,8,0.02646407936287426,0.49176241472801474,0.00019685064226540746,10,randomize,3.5705521472392636,0.011020222676664394,0.027549360405818797,0.0,32.466257668711656,sf,0.06748466257668712,97,beta
48,3,0.1673250876863858,0.46695076007751724,0.0008559716276888243,100,randomize,3.125,0.03324468085106383,0.029309017614536453,0.0,20.583333333333332,sf,0.08333333333333333,15,beta
199,9,0.15701703625175956,0.3588900304464586,0.00033959540748702973,32,randomize,3.2663316582914574,0.00824831226841277,0.07107957155883819,0.0,48.36180904522613,sf,0.09045226130653267,65,beta
190,6,0.14199787402472241,0.07411642707098132,0.0009969422876223736,39,randomize,3.1789473684210527,0.008409913673071567,0.09097870052418348,0.0,64.2421052631579,sf,0.2578947368421053,98,beta
149,2,0.20432808247821077,0.25976711320569035,0.0007938851753923389,99,randomize,3.6778523489932886,0.012425176854707056,0.1066321047719463,0.0,59.04697986577181,sf,0.3422818791946309,74,beta
77,5,0.23009956747713461,0.9573244140891316,0.00018572501856645323,66,randomize,3.064935064935065,0.020164046479835954,0.03807977736549164,0.0,12.753246753246753,sf,0.15584415584415584,42,beta
