n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.9943869452470908,0.019067896983982,8629,randomize,11.769645360299243,0.9984183264244432,4,bayes
133403,0.6989541811572882,0.0065959709373823,786,randomize,11.769555407299686,0.9918742457066184,109,bayes
133403,0.8881201571172512,0.0108490574065588,6575,randomize,11.769615375966058,0.9975637729286448,7,bayes
133403,0.6170965776785303,0.0079679084977059,5224,randomize,11.769540415133092,0.98757149389444,18,bayes
133403,0.4719112079531877,0.0039912712781863,7770,randomize,11.769540415133092,0.9659228053342128,37,bayes
133403,0.0179675057743299,0.0054417955937309,7837,randomize,11.769645360299243,0.5679932235407,23,bayes
133403,0.5816199651982252,0.0132951367693046,5425,randomize,11.7695254229665,0.9851577550729744,7,bayes
133403,0.6487991218868286,0.0188713171725095,6694,randomize,11.76957039946628,0.990270083881172,6,bayes
133403,0.2506315572594426,0.0072594859491493,6487,randomize,11.76957039946628,0.8758123880272558,20,bayes
133403,0.5278185041571279,0.0053063518391661,8682,randomize,11.769495438633314,0.9777066482762756,21,bayes
133403,0.1847177954723623,0.020254722322313,855,randomize,11.769555407299686,0.818339917393162,16,bayes
133403,0.5135931521968551,0.0108652590954792,3753,randomize,11.769495438633314,0.976552251448618,14,bayes
133403,0.046982264947302,0.0160211544685491,5644,randomize,11.769615375966058,0.6522566958764046,8,bayes
133403,0.6645064121626189,0.0063366513184972,3339,randomize,11.769555407299686,0.9902925721310616,34,bayes
133403,0.7382483539479499,0.0203077495893663,3533,randomize,11.769495438633314,0.9947077651926868,6,bayes
133403,0.0541612306478824,0.0030273220162922,8781,randomize,11.769600383799466,0.5896943846840026,55,bayes
133403,0.7623122945487582,0.0043930954299491,5307,randomize,11.769555407299686,0.9940481098625968,51,bayes
133403,0.7506839640983837,0.0140665178114238,7286,randomize,11.76957039946628,0.9946178121931292,6,bayes
133403,0.2615647715912041,0.0024725998634251,6621,randomize,11.769465454300128,0.8645682630825394,132,bayes
133403,0.8750032975915548,0.0178223144710369,6421,randomize,11.769585391632871,0.9972264491803032,6,bayes
133403,0.6958660310008289,0.0222618635737892,579,randomize,11.769555407299686,0.9920691438723268,16,bayes
133403,0.4432234520134278,0.0058459115803408,8828,randomize,11.76948044646672,0.963554043012526,17,bayes
133403,0.941360907242472,0.0161990863276331,6226,randomize,11.769600383799466,0.998178451758956,5,bayes
133403,0.1821183794624706,0.0087792694335395,6573,randomize,11.7695254229665,0.8200265361348695,13,bayes
133403,0.6713838608597582,0.0156651021501739,1026,randomize,11.769600383799466,0.9908472822950009,22,bayes
